2026-07-18 14:00:30.95 | SUCCESS | SYSTEM   | AKS Price Checker server booted up and ready for requests!
2026-07-18 14:01:59.61 | SUCCESS | SYSTEM   | AKS Price Checker server booted up and ready for requests!
2026-07-18 14:02:20.05 | INFO    | API      | SEARCH REQUEST -> Category: 'phone', Query: 'IPhone 13'
2026-07-18 14:02:21.27 | ERROR   | PARSER   | [GagoGSM] HTML parsing crashed: 'Logger' object has no attribute 'warnings'
2026-07-18 14:02:22.30 | ERROR   | PARSER   | [Cellphone BG] HTML parsing crashed: 'Logger' object has no attribute 'warnings'
2026-07-18 14:02:22.42 | ERROR   | PARSER   | [Smenime] HTML parsing crashed: 'Logger' object has no attribute 'warnings'
2026-07-18 14:02:22.65 | ERROR   | PARSER   | [Alpha Mobile] HTML parsing crashed: 'Logger' object has no attribute 'warnings'
2026-07-18 14:02:23.26 | ERROR   | PARSER   | [Siaifon] HTML parsing crashed: 'Logger' object has no attribute 'warnings'
2026-07-18 14:02:24.12 | ERROR   | PARSER   | [PhoneZona] HTML parsing crashed: 'Logger' object has no attribute 'warnings'
2026-07-18 14:02:26.95 | SUCCESS | API      | SEARCH COMPLETED -> Found 0 items across all sites in 6.9s
2026-07-18 14:03:17.67 | SUCCESS | SYSTEM   | AKS Price Checker server booted up and ready for requests!
2026-07-18 14:03:21.48 | SUCCESS | SYSTEM   | AKS Price Checker server booted up and ready for requests!
2026-07-18 14:03:33.21 | INFO    | API      | SEARCH REQUEST -> Category: 'phone', Query: 'Iphone 13'
2026-07-18 14:03:37.92 | WARNING | PARSER   | [Smenime] Exracter 4 items in 31ms
2026-07-18 14:03:38.28 | WARNING | PARSER   | [GagoGSM] 0 items found in 222ms! (CSS selector 'a.prod-info' broken or empty query)
2026-07-18 14:03:38.32 | WARNING | PARSER   | [Cellphone BG] Exracter 19 items in 347ms
2026-07-18 14:03:38.46 | WARNING | PARSER   | [Alpha Mobile] 0 items found in 69ms! (CSS selector 'a.prod-info' broken or empty query)
2026-07-18 14:03:38.91 | WARNING | PARSER   | [PhoneZona] 0 items found in 288ms! (CSS selector 'a.prod-info' broken or empty query)
2026-07-18 14:03:39.65 | WARNING | PARSER   | [Siaifon] Exracter 60 items in 450ms
2026-07-18 14:03:40.63 | SUCCESS | API      | SEARCH COMPLETED -> Found 83 items across all sites in 7.42s
2026-07-18 14:04:28.71 | SUCCESS | SYSTEM   | AKS Price Checker server booted up and ready for requests!
2026-07-18 14:54:26.70 | SUCCESS | SYSTEM   | AKS Price Checker server booted up and ready for requests!
2026-07-18 15:08:25.30 | SUCCESS | SYSTEM   | AKS Price Checker server booted up and ready for requests!
2026-07-18 15:10:02.30 | SUCCESS | SYSTEM   | AKS Price Checker server booted up and ready for requests!
2026-07-18 15:10:03.13 | SUCCESS | SYSTEM   | AKS Price Checker server booted up and ready for requests!
2026-07-18 15:10:09.25 | INFO    | API      | SEARCH REQUEST -> Category: 'phone', Query: 'Iphone 13'
2026-07-18 15:10:10.52 | INFO    | PARSER   | [GagoGSM] Exracted 28 items in 226ms
2026-07-18 15:10:11.03 | INFO    | PARSER   | [Cellphone BG] Exracted 19 items in 240ms
2026-07-18 15:10:11.36 | INFO    | PARSER   | [Alpha Mobile] Exracted 50 items in 130ms
2026-07-18 15:10:13.22 | WARNING | PARSER   | [Siaifon] 0 items found in 1346ms! (CSS selector '.product-thumb h4 a, .caption a, .name a, h4 a, .product-title a, a.prod-info' broken or empty query)
2026-07-18 15:10:14.01 | INFO    | PARSER   | [PhoneZona] Exracted 15 items in 716ms
2026-07-18 15:10:53.50 | INFO    | API      | SEARCH REQUEST -> Category: 'phone', Query: 'IPhone 13'
2026-07-18 15:10:54.83 | INFO    | PARSER   | [Alpha Mobile] Exracted 50 items in 198ms
2026-07-18 15:10:54.98 | WARNING | PARSER   | [Smenime] 0 items found in 41ms! (CSS selector '.product-thumb h4 a, .caption a, .name a, h4 a, .product-title a, a.prod-info' broken or empty query)
2026-07-18 15:10:55.09 | INFO    | PARSER   | [Cellphone BG] Exracted 19 items in 261ms
2026-07-18 15:10:55.36 | INFO    | PARSER   | [GagoGSM] Exracted 28 items in 174ms
2026-07-18 15:10:56.06 | INFO    | PARSER   | [PhoneZona] Exracted 15 items in 690ms
2026-07-18 15:10:57.23 | WARNING | PARSER   | [Siaifon] 0 items found in 1164ms! (CSS selector '.product-thumb h4 a, .caption a, .name a, h4 a, .product-title a, a.prod-info' broken or empty query)
2026-07-18 15:10:57.59 | SUCCESS | API      | SEARCH COMPLETED -> Found 112 items across all sites in 4.09s
2026-07-19 11:54:41.10 | INFO    | API      | SEARCH REQUEST -> Category: 'pc', Query: 'IPhone 13'
2026-07-19 11:54:42.22 | INFO    | PARSER   | [Bazar] Exracted 66 items in 163ms
2026-07-19 11:54:42.33 | WARNING | PARSER   | [LaptopRemont] 0 items found in 35ms! (CSS selector 'a[href^='https://www.laptopremont.com/']' broken or empty query)
2026-07-19 11:54:43.77 | WARNING | PARSER   | [OLX] 0 items found in 91ms! (CSS selector 'a.css-z3gu2d' broken or empty query)
2026-07-19 11:54:43.77 | SUCCESS | API      | SEARCH COMPLETED -> Found 66 items across all sites in 2.68s
2026-07-19 12:02:08.84 | INFO    | API      | SEARCH REQUEST -> Category: 'phone', Query: 'IPhone 13'
2026-07-19 12:02:10.44 | INFO    | PARSER   | [GagoGSM] Exracted 28 items in 170ms
2026-07-19 12:02:10.47 | WARNING | PARSER   | [Smenime] 0 items found in 24ms! (CSS selector '.product-thumb h4 a, .caption a, .name a, h4 a, .product-title a, a.prod-info' broken or empty query)
2026-07-19 12:02:11.26 | INFO    | PARSER   | [Cellphone BG] Exracted 19 items in 278ms
2026-07-19 12:02:11.31 | INFO    | PARSER   | [Alpha Mobile] Exracted 50 items in 176ms
2026-07-19 12:02:12.89 | WARNING | PARSER   | [Siaifon] 0 items found in 1175ms! (CSS selector '.product-thumb h4 a, .caption a, .name a, h4 a, .product-title a, a.prod-info' broken or empty query)
2026-07-19 12:02:13.70 | INFO    | PARSER   | [PhoneZona] Exracted 15 items in 765ms
2026-07-19 12:02:13.99 | SUCCESS | API      | SEARCH COMPLETED -> Found 112 items across all sites in 5.14s
2026-07-19 12:21:53.55 | SUCCESS | SYSTEM   | AKS Price Checker server booted up and ready for requests!
2026-07-19 12:21:54.59 | SUCCESS | SYSTEM   | AKS Price Checker server booted up and ready for requests!
2026-07-19 12:21:59.14 | INFO    | API      | SEARCH REQUEST -> Category: 'phone', Query: 'IPhone 13'
2026-07-19 12:21:59.76 | WARNING | PARSER   | [Smenime] 0 items found in 43ms! (CSS selector '.wrap h6, .product-thumb h4 a, .caption a, .name a, h4 a, .product-title a, a.prod-info' broken or empty query)
2026-07-19 12:22:00.20 | INFO    | PARSER   | [GagoGSM] Exracted 28 items in 171ms
2026-07-19 12:22:00.52 | INFO    | PARSER   | [Alpha Mobile] Exracted 50 items in 114ms
2026-07-19 12:22:01.18 | INFO    | PARSER   | [Cellphone BG] Exracted 19 items in 455ms
2026-07-19 12:22:01.96 | WARNING | PARSER   | [Siaifon] 0 items found in 1430ms! (CSS selector '.product-thumb h4 a, .caption a, .name a, h4 a, .product-title a, a.prod-info' broken or empty query)
2026-07-19 12:22:02.86 | INFO    | PARSER   | [PhoneZona] Exracted 15 items in 667ms
2026-07-19 12:22:02.92 | SUCCESS | API      | SEARCH COMPLETED -> Found 112 items across all sites in 3.78s
2026-07-19 12:22:33.23 | SUCCESS | SYSTEM   | AKS Price Checker server booted up and ready for requests!
2026-07-19 12:22:33.86 | SUCCESS | SYSTEM   | AKS Price Checker server booted up and ready for requests!
2026-07-19 12:39:30.66 | SUCCESS | SYSTEM   | AKS Price Checker server booted up and ready for requests!
2026-07-19 12:39:31.52 | SUCCESS | SYSTEM   | AKS Price Checker server booted up and ready for requests!
2026-07-19 12:40:32.13 | SUCCESS | SYSTEM   | AKS Price Checker server booted up and ready for requests!
2026-07-19 12:41:17.98 | SUCCESS | SYSTEM   | AKS Price Checker server booted up and ready for requests!
2026-07-19 12:42:23.05 | SUCCESS | SYSTEM   | AKS Price Checker server booted up and ready for requests!
2026-07-19 12:42:41.41 | SUCCESS | SYSTEM   | AKS Price Checker server booted up and ready for requests!
2026-07-19 12:42:42.36 | SUCCESS | SYSTEM   | AKS Price Checker server booted up and ready for requests!
2026-07-19 12:42:43.46 | SUCCESS | SYSTEM   | AKS Price Checker server booted up and ready for requests!
2026-07-19 12:42:49.92 | INFO    | API      | SEARCH REQUEST -> Category: 'phone', Query: 'IPhone 13'
2026-07-19 12:42:50.58 | INFO    | PARSER   | [Smenime] Exracted 4 items in 39ms
2026-07-19 12:42:51.11 | INFO    | PARSER   | [GagoGSM] Exracted 28 items in 208ms
2026-07-19 12:42:51.65 | INFO    | PARSER   | [Alpha Mobile] Exracted 50 items in 287ms
2026-07-19 12:42:51.98 | INFO    | PARSER   | [Siaifon] Exracted 60 items in 795ms
2026-07-19 12:42:52.12 | INFO    | PARSER   | [Cellphone BG] Exracted 19 items in 382ms
2026-07-19 12:42:53.66 | INFO    | PARSER   | [PhoneZona] Exracted 15 items in 754ms
2026-07-19 12:42:53.71 | SUCCESS | API      | SEARCH COMPLETED -> Found 176 items across all sites in 3.79s
2026-07-19 13:19:07.32 | SUCCESS | SYSTEM   | AKS Price Checker server booted up and ready for requests!
2026-07-19 13:19:08.03 | SUCCESS | SYSTEM   | AKS Price Checker server booted up and ready for requests!
2026-07-19 13:19:11.53 | SUCCESS | SYSTEM   | AKS Price Checker server booted up and ready for requests!
2026-07-19 13:19:22.25 | INFO    | API      | SEARCH REQUEST -> Category: 'phone', Query: 'IPhone 13'
2026-07-19 13:19:22.77 | INFO    | PARSER   | [Smenime] Exracted 4 items in 30ms
2026-07-19 13:19:23.05 | INFO    | PARSER   | [GagoGSM] Exracted 28 items in 157ms
2026-07-19 13:19:23.70 | INFO    | PARSER   | [Alpha Mobile] Exracted 50 items in 114ms
2026-07-19 13:19:24.27 | INFO    | PARSER   | [Cellphone BG] Exracted 19 items in 455ms
2026-07-19 13:19:24.39 | INFO    | PARSER   | [Siaifon] Exracted 60 items in 685ms
2026-07-19 13:19:25.92 | INFO    | PARSER   | [PhoneZona] Exracted 15 items in 655ms
2026-07-19 13:19:25.97 | SUCCESS | API      | SEARCH COMPLETED -> Found 176 items across all sites in 3.73s
2026-07-19 13:26:58.61 | SUCCESS | SYSTEM   | AKS Price Checker server booted up and ready for requests!
2026-07-19 13:26:59.98 | SUCCESS | SYSTEM   | AKS Price Checker server booted up and ready for requests!
2026-07-19 13:27:06.60 | INFO    | API      | SEARCH REQUEST -> Category: 'phone', Query: 'Iphone 13'
2026-07-19 13:27:07.56 | INFO    | PARSER   | [Smenime] Exracted 4 items in 30ms
2026-07-19 13:27:07.79 | INFO    | PARSER   | [Cellphone BG] Exracted 19 items in 219ms
2026-07-19 13:27:07.99 | INFO    | PARSER   | [GagoGSM] Exracted 28 items in 177ms
2026-07-19 13:27:08.54 | INFO    | PARSER   | [Alpha Mobile] Exracted 50 items in 231ms
2026-07-19 13:27:08.55 | INFO    | PARSER   | [Siaifon] Exracted 60 items in 565ms
2026-07-19 13:27:10.66 | INFO    | PARSER   | [PhoneZona] Exracted 15 items in 655ms
2026-07-19 13:27:21.30 | INFO    | API      | SEARCH REQUEST -> Category: 'phone', Query: 'Iphone 13'
2026-07-19 13:27:21.88 | INFO    | PARSER   | [Smenime] Exracted 4 items in 106ms
2026-07-19 13:27:22.02 | INFO    | PARSER   | [Cellphone BG] Exracted 19 items in 314ms
2026-07-19 13:27:22.18 | INFO    | PARSER   | [GagoGSM] Exracted 28 items in 160ms
2026-07-19 13:27:22.63 | INFO    | PARSER   | [Siaifon] Exracted 60 items in 439ms
2026-07-19 13:27:22.75 | INFO    | PARSER   | [Alpha Mobile] Exracted 50 items in 117ms
2026-07-19 13:27:23.46 | INFO    | PARSER   | [PhoneZona] Exracted 15 items in 694ms
2026-07-19 13:28:00.96 | INFO    | API      | SEARCH REQUEST -> Category: 'pc', Query: 'Iphone 13'
2026-07-19 13:28:01.95 | INFO    | PARSER   | [Bazar] Exracted 66 items in 166ms
2026-07-19 13:28:02.21 | WARNING | PARSER   | [LaptopRemont] 0 items found in 34ms! (CSS selector 'a[href^='https://www.laptopremont.com/']' broken or empty query)
2026-07-19 13:28:03.09 | WARNING | PARSER   | [OLX] 0 items found in 5ms! (CSS selector 'a.css-z3gu2d' broken or empty query)
2026-07-19 13:28:03.10 | SUCCESS | API      | SEARCH COMPLETED -> Found 66 items across all sites in 2.14s
2026-07-19 13:28:06.21 | INFO    | API      | SEARCH REQUEST -> Category: 'phone', Query: 'Iphone 13'
2026-07-19 13:28:06.86 | INFO    | PARSER   | [Smenime] Exracted 4 items in 25ms
2026-07-19 13:28:06.89 | INFO    | PARSER   | [Cellphone BG] Exracted 19 items in 233ms
